Name,Qty,Price Per Unit,Total Price,Link,Notes,,,,,,
2080 2400mm TOTAL,1,70,70,https://www.amazon.com/IXGNIJ-2080-Aluminum-Extrusion-European/dp/B0FG79HNWG?dib=eyJ2IjoiMSJ9.yd10_GijaksukPe-XV0svL7_sbbR0esj4m9XNOr4nKS34hFHiCPBV6zocarTPBNUvM_OFCWTxt5NakvQGTRbFehIM3OyYPnalcjC9T2T7faPT8-VCr6OQct5X9vI3_fsxIZzNvAuqkHF_5y8mFzOy3zWbTkE9fKOPnVIHUiubCKwrlVAMw7LsbCwf1acNvLJZGdASS3wY6hxoUoNMsAEl9u7Ti6NgM7xODiCXOMEyEk.tlMXeJc23AtXaI77exbjGax7GMT-0I_QGF4y7r4DBds&dib_tag=se&keywords=2080%2Bextrusion&qid=1780037147&sr=8-2&th=1,"T-slot type B (i think), taps to M6",,,,,FINAL TOTAL,1217.5
2040 ~3600 total,1,70,70,https://www.amazon.com/Aluminum-Extrusion-European-Standard-27-56inch/dp/B08PQRXFRF?crid=2ZM8A4JZDJLB5&dib=eyJ2IjoiMSJ9.t9tHYy4Cyy9ggsKZF7jz5rg1XY1aY78YXqFVgKxgyZXXj-6KgdStAb0dTxpU4FmxdSVw8-ySbUTQ95W3xSVqk9HkUHC_fQaO0k8wHTRZqJQxRDA0lAuccakpL_kpLXNMopMxuMv307Ydopsvsi-z0PFrJb4P7JRbiZi6p-fKC8Cv5N6c03pZl7ntxhlhuakGujlxz42vO3gHLdUgxx5VLA0x1Xl5Qe3ezS67KN6RUpI.xk8iD-uWk7-nZGyUoum8fsnPHgj27inG0WEvRtWKNfQ&dib_tag=se&keywords=2040%2Bextrusion%2B750mm%2Bt-slot&qid=1780039353&sprefix=2040%2Bextrusion%2B750mm%2Bt-slot%2Caps%2C109&sr=8-15&th=1,Seems to be same as one above,,,,,with tax,1314.9
SFU1605 600mm,2,52,104,https://www.amazon.com/ANWOK-SFU1605-600mm-Deflector-Housing-Supports/dp/B09BQSPDD4?crid=XLE20JAXJEVA&dib=eyJ2IjoiMSJ9.U6jzr0gkE0rwAopAdZPNwWSxvwZ8zSj2lpJI_3Iyve2-z79mvZBqydBHJY_n1DtZ8mLL3WDDZtRpmoB4LVnXxuYmvGoq1ZXNMh5-4m66QragD3VigzJFq-RMoOBUS7m32BJJAbQUr04bBCDAvSyJaqRj3Lt-0i7piEft6AmtaVcDfU1PB3MKuV6lnQe1N8S-w4ohHLkeIxeQTQXM_qACmzZOBXlv1N8RtOimHbIdMKc.RXGvfCEIvVvMHmf3SoGDwG_zH_-y_xWWf0IhOAyFG8A&dib_tag=se&keywords=sfu1605%2B600mm&qid=1780040470&sprefix=sfu1605%2B600mm%2Caps%2C122&sr=8-3&th=1,"inludes blocks, nut, housing, and a 6.35x10 coupler",,,,,,
SFU1605 750mm,1,44,44,https://www.amazon.com/ANWOK-SFU1605-600mm-Deflector-Housing-Supports/dp/B09BQVCK41?crid=XLE20JAXJEVA&dib=eyJ2IjoiMSJ9.U6jzr0gkE0rwAopAdZPNwWSxvwZ8zSj2lpJI_3Iyve2-z79mvZBqydBHJY_n1DtZ8mLL3WDDZtRpmoB4LVnXxuYmvGoq1ZXNMh5-4m66QragD3VigzJFq-RMoOBUS7m32BJJAbQUr04bBCDAvSyJaqRj3Lt-0i7piEft6AmtaVcDfU1PB3MKuV6lnQe1N8S-w4ohHLkeIxeQTQXM_qACmzZOBXlv1N8RtOimHbIdMKc.RXGvfCEIvVvMHmf3SoGDwG_zH_-y_xWWf0IhOAyFG8A&dib_tag=se&keywords=sfu1605%2B600mm&qid=1780040470&sprefix=sfu1605%2B600mm%2Caps%2C122&sr=8-3&th=1,,,,,,,
SFU1204 250mm,1,30,30,https://www.amazon.com/ANWOK-SFU1605-600mm-Deflector-Housing-Supports/dp/B09BR2MJ34?crid=XLE20JAXJEVA&dib=eyJ2IjoiMSJ9.U6jzr0gkE0rwAopAdZPNwWSxvwZ8zSj2lpJI_3Iyve2-z79mvZBqydBHJY_n1DtZ8mLL3WDDZtRpmoB4LVnXxuYmvGoq1ZXNMh5-4m66QragD3VigzJFq-RMoOBUS7m32BJJAbQUr04bBCDAvSyJaqRj3Lt-0i7piEft6AmtaVcDfU1PB3MKuV6lnQe1N8S-w4ohHLkeIxeQTQXM_qACmzZOBXlv1N8RtOimHbIdMKc.RXGvfCEIvVvMHmf3SoGDwG_zH_-y_xWWf0IhOAyFG8A&dib_tag=se&keywords=sfu1605%2B600mm&qid=1780040470&sprefix=sfu1605%2B600mm%2Caps%2C122&sr=8-3&th=1,,,,,,,
MGN12 600mm,2,42,84,https://www.amazon.com/ReliaBot-Linear-Carriage-Printer-Machine/dp/B08TBG3P83?crid=2JJWYFY71I9L8&dib=eyJ2IjoiMSJ9.Z0eT2mRH1BqKhSK3F3qobYMUHfqQ0ouT8y1mvcz3lYbJwi-3VTIoM6tgKquAadJUtTnHBZlSSTUwxuEJthDC1r8WSjobtTeLfXxCDqgSgDL5ycisSvouwtnxHkktma7UOfRUXZrV9-SdrmOb_8K9sY883HtCa0Z6PkvejXTx3GOw8RlAHZcaMOdAmmNyHHBseB_YPS3nEqclcU2Qq1VxdT_Y7YmRWkReEb-EwhUEIkY.Wsxz45Dw_Zbk0hiQXp6JKTlZ6VUslllnr_tL8fFunMk&dib_tag=se&keywords=mgn12%2Blinear%2Brail%2B600mm&qid=1780040969&sprefix=mgn12%2Blinear%2Brail%2B600mm%2Caps%2C129&sr=8-3&th=1,comes with 2 extra blocks,,,,,,
MGN12 700mm,2,50,100,https://www.amazon.com/Iverntech-Linear-MGN12H-Carriage-Printer/dp/B086QKQSL2?crid=3MTF4MBPWFO4O&dib=eyJ2IjoiMSJ9.5nAfS-bySuIVMIBeEYx8DEJ13Bd718yBrvOO7gzcdKAxYAXM4PY-282p8hW54DoA---hK7dnuzZZWOIa01aefKHcdNwfrTeRLxWdvPvZ6vxGo6RDPha5MIunJWhW_1_y6KdZorB_wHgP26TWWxqGUo9axJNAvoejvTKWJe4QS6X-jQrTrCza2fRASUkbr9aIOWGbtq5EkfFl3FhGCYgveUFvLRf7dAOIv4I4HeFMyfA.8JufD797dDhv3cjCur0JBBL-Oogwcud-QDaN30dZ-Dw&dib_tag=se&keywords=mgn12%2Blinear%2Brail%2B700mm&qid=1780041417&sprefix=mgn12%2Blinear%2Brail%2B700mm%2Caps%2C124&sr=8-3&th=1,comes with 2 extra blocks,,,,,,
MGN12 250mm,2,28,56,https://www.amazon.com/ReliaBot-Linear-Carriage-Printer-Machine/dp/B0BHT4HK1G?crid=2JJWYFY71I9L8&dib=eyJ2IjoiMSJ9.Z0eT2mRH1BqKhSK3F3qobYMUHfqQ0ouT8y1mvcz3lYbJwi-3VTIoM6tgKquAadJUtTnHBZlSSTUwxuEJthDC1r8WSjobtTeLfXxCDqgSgDL5ycisSvouwtnxHkktma7UOfRUXZrV9-SdrmOb_8K9sY883HtCa0Z6PkvejXTx3GOw8RlAHZcaMOdAmmNyHHBseB_YPS3nEqclcU2Qq1VxdT_Y7YmRWkReEb-EwhUEIkY.Wsxz45Dw_Zbk0hiQXp6JKTlZ6VUslllnr_tL8fFunMk&dib_tag=se&keywords=mgn12%2Blinear%2Brail%2B600mm&qid=1780040969&sprefix=mgn12%2Blinear%2Brail%2B600mm%2Caps%2C129&sr=8-3&th=1,"comes with 2 extra blocks, 240 not 250",,,,,,
D20-L25 8mm-10mm Jaw Coupling,2,12,24,https://www.amazon.com/Yeebyee-Aluminium-Flexible-Coupling-Connector/dp/B0BGLG17HL?crid=3BBUULL14M27F&dib=eyJ2IjoiMSJ9.zVh5FEryk9EttY9Aa7Gmg86TbHUxWGItGErVzZHc9plgypVbnor50loW73z6ZbGH84RdKT9_Et5sH155NtMKtN7h_xJS8YyfnNPIppTtG9y-3t5QT-H1eaxlRaFaYLp_vo4JhjTRQ-nmu8CSKh2Cm1DJWFq2br8HAAsz4TN1lK4onZtbfAfGSwwQRl9Bo4XaIIK3r5orH74gxNKtdMaRmMeME-rcF8przBlcfq3Tj1Q.0Yr3MSoiQDrLpnAKlKGXQWsJ3MkcgEbd8CAIoGZ4fJU&dib_tag=se&keywords=8mm%2B-%2B10mm%2BFlexible%2BJaw%2BCoupling%2BD20L25&qid=1782956752&sprefix=8mm%2B-%2B10mm%2Bflexible%2Bjaw%2Bcoupling%2Bd20l25%2Caps%2C117&sr=8-3&th=1,pack of 2,,,,,,
D20-L25 8mm-8mm Jaw Coupling,1,12,12,https://www.amazon.com/Yeebyee-Aluminium-Flexible-Coupling-Connector/dp/B0BGLF3QH9?crid=3BBUULL14M27F&dib=eyJ2IjoiMSJ9.zVh5FEryk9EttY9Aa7Gmg86TbHUxWGItGErVzZHc9plgypVbnor50loW73z6ZbGH84RdKT9_Et5sH155NtMKtN7h_xJS8YyfnNPIppTtG9y-3t5QT-H1eaxlRaFaYLp_vo4JhjTRQ-nmu8CSKh2Cm1DJWFq2br8HAAsz4TN1lK4onZtbfAfGSwwQRl9Bo4XaIIK3r5orH74gxNKtdMaRmMeME-rcF8przBlcfq3Tj1Q.0Yr3MSoiQDrLpnAKlKGXQWsJ3MkcgEbd8CAIoGZ4fJU&dib_tag=se&keywords=8mm%2B-%2B10mm%2BFlexible%2BJaw%2BCoupling%2BD20L25&qid=1782956752&sprefix=8mm%2B-%2B10mm%2Bflexible%2Bjaw%2Bcoupling%2Bd20l25%2Caps%2C117&sr=8-3&th=1,pack of 2,,,,,,
